sentence_id	words	labels
11	spreading,	O
12	erect	O
13	branches	O
0		
1	H	O
2	70–100ft	O
3	(20–30m),	O
4	S	O
5	15–30ft	O
6	(5–10m)	O
0		
1	Sharp,	O
2	stiff,	O
3	glossy,	O
4	deep	O
5	green	O
6	leaves	O
7	are	O
8	whitish-green	O
9	beneath	O
0		
1	Cylindrical,	O
2	tapered	O
3	cones,	O
4	4–6in	O
5	(10–15cm)	O
6	long,	O
7	are	O
8	brown	O
9	when	O
10	ripe	O
0		
1	Z5–6	O
2	H6–5	O
0		
1	‘Meyer’s	O
2	Dwarf’	O
3	(illus	O
0		
1	105),	O
2	H	O
3	20in	O
4	(50cm),	O
5	S	O
6	5ft	O
7	(1	O
0		
1	5m),	O
2	has	O
3	short	O
4	leaves	O
5	and	O
6	forms	O
7	a	O
8	spreading,	O
9	flat	O
10	topped-mound	O
0		
1	abies	B
2	concolor	I
3	(White	O
4	fir)	O
0		
1	Upright	O
2	conifer	O
0		
1	H	O
2	50–100ft	O
3	(15–30m),	O
4	S	O
5	15–25ft	O
6	(5–8m)	O
0		
1	Has	O
2	widely	O
3	spreading,	O
4	blue-green	O
5	or	O
6	gray	O
7	leaves	O
8	and	O
9	cylindrical,	O
10	green	O
11	or	O
12	pale	O
13	blue	O
14	cones,	O
15	3–5in	O
16	(8–12cm)	O
17	long	O
0		
1	Z3–7	O
2	H7–1	O
0		
1	‘Argentea’,	O
2	illus	O
0		
1	‘Compacta’,	O
2	syn	O
0		
1	abies	B
2	concolor	I
3	‘Glauca	O
4	Compacta’	O
5	(illus	O
0		
1	105),	O
2	H	O
3	6ft	O
4	(2m),	O
5	S	O
6	6–10ft	O
7	(2–3m),	O
8	is	O
9	a	O
10	cultivar	O
11	with	O
12	steel-blue	O
13	foliage	O
0		
1	‘Glauca	O
2	Compacta’	O
0		
1	See	O
2	abies	B
3	concolor	I
4	‘Compacta’	O
0		
1	abies	O
2	delavayi	O
3	(Delavay’s	O
4	fir)	O
0		
1	Upright	O
2	conifer	O
3	producing	O
4	tiered,	O
5	spreading	O
6	branches	O
0		
1	H	O
2	30–50ft	O
3	(10–15m),	O
4	S	O
5	12–20ft	O
6	(4–6m)	O
0		
1	Has	O
2	maroon	O
3	shoots	O
4	and	O
5	curved,	O
6	bright	O
7	deep	O
8	green	O
9	leaves,	O
10	spirally	O
11	arranged,	O
12	with	O
13	vivid	O
14	silver	O
15	bands	O
16	beneath	O
17	and	O
18	rolled	O
19	margins	O
0		
1	Cones	O
2	are	O
3	narrowly	O
4	cylindrical,	O
5	21/2–6in	O
6	(6–15cm)	O
7	long,	O
8	and	O
9	violet-blue	O
0		
1	Z8–9	O
2	H9–8	O
0		
1	abies	O
2	forrestii,	O
3	illus	O
0		
1	abies	O
2	grandis,	O
3	illus	O
0		
1	abies	O
2	homolepis	O
3	(Nikko	O
4	fir)	O
0		
1	Conifer	O
2	that	O
3	is	O
4	conical	O
5	when	O
6	young,	O
7	later	O
8	columnar	O
0		
1	H	O
2	50ft	O
3	(15m),	O
4	S	O
5	20ft	O
6	(6m)	O
0		
1	Pink-gray	O
2	bark	O
3	peels	O
4	in	O
5	fine	O
6	flakes	O
0		
1	Has	O
2	pale	O
3	green	O
4	leaves,	O
5	silver	O
6	beneath,	O
7	and	O
8	cylindrical,	O
9	violet-blue	O
10	cones,	O
11	3–5in	O
12	(8–12cm)	O
13	long	O
0		
1	Tolerates	O
2	urban	O
3	conditions	O
0		
1	Z4–6	O
2	H6–4	O
0		
1	abies	O
2	koreana,	O
3	illus	O
0		
1	abies	O
2	lasiocarpa	O
3	(Subalpine	O
4	fir)	O
0		
1	Narrowly	O
2	conical	O
3	conifer	O
0		
1	H	O
2	30–50ft	O
3	(10–15m),	O
4	S	O
5	10–12ft	O
6	(3–4m)	O
0		
1	Has	O
2	gray	O
3	or	O
4	blue-green	O
5	leaves	O
6	and	O
7	cylindrical,	O
8	violet-blue	O
9	cones,	O
10	21/2–4in	O
11	(6–10cm)	O
12	long	O
0		
1	Z5–6	O
2	H6–5	O
0		
1	arizonica	O
2	‘Compacta’,	O
3	H	O
4	12–15ft	O
5	(4–5m),	O
6	S	O
7	5–6ft	O
8	(1	O
0		
1	5–2m),	O
2	is	O
3	a	O
4	slowgrowing,	O
5	ovoid	O
6	to	O
7	conical	O
8	tree	O
9	with	O
10	corky	O
11	bark	O
12	and	O
13	blue	O
14	foliage	O
0		
1	‘Roger	O
2	Watson’,	O
3	H	O
4	and	O
5	S	O
6	21⁄2ft	O
7	(75cm),	O
8	is	O
9	dwarf	O
10	and	O
11	conical,	O
12	with	O
13	silvery-gray	O
14	leaves	O
0		
1	abies	O
2	nordmanniana	O
3	(Caucasian	O
4	fir)	O
0		
1	Columnar,	O
2	dense	O
3	conifer	O
0		
1	H	O
2	50–80ft	O
3	(15–25m),	O
4	S	O
5	15ft	O
6	(5m)	O
0		
1	Luxuriant	O
2	foliage	O
3	is	O
4	rich	O
5	green	O
0		
1	Cylindrical	O
2	cones,	O
3	4–6in	O
4	(10–15cm)	O
5	long,	O
6	are	O
7	green-brown,	O
8	ripening	O
9	to	O
10	brown	O
0		
1	Z4–6	O
2	H6–4	O
0		
1	‘Golden	O
2	Spreader’,	O
3	H	O
4	and	O
5	S	O
6	3ft	O
7	(1m),	O
8	is	O
9	a	O
10	dwarf	O
11	form	O
12	with	O
13	a	O
14	spreading	O
15	habit	O
16	and	O
17	bright	O
18	golden-yellow	O
19	leaves	O
0		
1	abies	O
2	procera,	O
3	illus	O
0		
1	abies	O
2	veitchii,	O
3	illus	O
0		
1	ABUTILON	O
2	MALVACEAE	O
3	Genus	O
4	of	O
5	evergreen,	O
6	semievergreen	O
7	or	O
8	deciduous	O
9	shrubs,	O
10	perennials	O
11	and	O
12	annuals,	O
13	grown	O
14	for	O
15	their	O
16	flowers	O
17	and	O
18	foliage	O
0		
1	Needs	O
2	full	O
3	sun	O
4	or	O
5	partial	O
6	shade	O
7	and	O
8	fertile,	O
9	well-drained	O
10	soil	O
0		
1	Water	O
2	containerized	O
3	specimens	O
4	freely	O
5	when	O
6	in	O
7	full	O
8	growth,	O
9	less	O
10	at	O
11	other	O
12	times	O
0		
1	In	O
2	the	O
3	growing	O
4	season,	O
5	young	O
6	plants	O
7	may	O
8	need	O
9	tip	O
10	pruning	O
11	to	O
12	promote	O
13	bushy	O
14	growth	O
0		
1	Mature	O
2	specimens	O
3	may	O
4	have	O
5	previous	O
6	season’s	O
7	stems	O
8	cut	O
9	back	O
10	hard	O
11	annually	O
12	in	O
13	early	O
14	spring	O
0		
1	Tie	O
2	lax-growing	O
3	species	O
4	to	O
5	a	O
6	support	O
7	if	O
8	necessary	O
0		
1	Propagate	O
2	by	O
3	seed	O
4	in	O
5	spring	O
6	or	O
7	by	O
8	softwood,	O
9	greenwood	O
10	or	O
11	semiripe	O
12	cuttings	O
13	in	O
14	summer	O
0		
1	Whitefly	O
2	and	O
3	red	B
4	spider	I
5	mite	O
6	may	O
7	be	O
8	troublesome	O
0		
1	abutilon	O
2	‘Ashford	O
3	Red’,	O
4	illus	O
0		
1	abutilon	O
2	‘Golden	O
3	Fleece’	O
0		
1	Strong-growing,	O
2	evergreen,	O
3	rounded	O
4	shrub	O
0		
1	H	O
2	and	O
3	S	O
4	6–10ft	O
5	(2–3m)	O
0		
1	Has	O
2	maple-	O
3	to	O
4	heart-shaped,	O
5	serrated,	O
6	rich	O
7	green	O
8	leaves	O
0		
1	Pendent,	O
2	bell-shaped,	O
3	yellow	O
4	flowers	O
5	are	O
6	borne	O
7	from	O
8	spring	O
9	to	O
10	fall	O
0		
1	Z12–11	O
2	H10–1	O
0		
1	abutilon	O
2	‘Kentish	O
3	Belle’,	O
4	illus	O
0		
1	abutilon	O
2	megapotamicum,	O
3	illus	O
0		
1	abutilon	B
2	pictum	I
3	of	O
4	gardens,	O
5	syn	O
0		
1	abutilon	O
2	striatum	O
0		
1	‘Thompsonii’,	O
2	illus	O
0		
1	abutilon	O
2	striatum	O
0		
1	See	O
2	abutilon	B
3	pictum	I
4	of	O
5	gardens	O
0		
1	abutilon	O
2	x	O
3	suntense	O
0		
1	Fast-growing,	O
2	deciduous,	O
3	upright,	O
4	arching	O
5	shrub	O
0		
1	H	O
2	15ft	O
3	(5m),	O
4	S	O
5	10ft	O
6	(30m)	O
7	Has	O
8	oval,	O
9	lobed,	O
10	toothed,	O
11	dark	O
12	green	O
13	leaves	O
0		
1	Produces	O
2	an	O
3	abundance	O
4	of	O
5	large,	O
6	bowl-shaped,	O
7	pale	O
8	to	O
9	deep	O
10	purple,	O
11	occasionally	O
12	white,	O
13	flowers	O
14	from	O
15	late	O
16	spring	O
17	to	O
18	early	O
19	summer	O
0		
1	Z13–14	O
2	H11–6	O
0		
1	‘Violetta’,	O
2	illus	O
0		
1	abutilon	B
2	vitifolium	I
0		
1	Fast-growing,	O
2	deciduous,	O
3	upright	O
4	shrub	O
0		
1	H	O
2	12ft	O
3	(4m),	O
4	S	O
5	8ft	O
6	(2	O
0		
1	Masses	O
2	of	O
3	large,	O
4	bowl-shaped,	O
5	purplishblue	O
6	flowers	O
7	are	O
8	produced	O
9	in	O
10	late	O
11	spring	O
12	and	O
13	early	O
14	summer	O
0		
1	Has	O
2	oval,	O
3	lobed,	O
4	sharply	O
5	toothed,	O
6	gray-green	O
7	leaves	O
0		
1	Z8–9	O
2	H9–8	O
0		
1	album,	O
2	illus	O
0		
1	‘Veronica	O
2	Tennant’,	O
3	illus	O
0		
1	ACACIA	O
2	LEGUMINOSAE/MIMOSACEAE	O
3	Genus	O
4	of	O
5	evergreen,	O
6	semievergreen	O
7	or	O
8	deciduous	O
9	trees	O
10	and	O
11	shrubs,	O
12	grown	O
13	for	O
14	their	O
15	tiny	O
16	flowers,	O
17	composed	O
18	of	O
19	massed	O
20	stamens,	O
21	and	O
22	for	O
23	their	O
24	foliage	O
0		
1	Many	O
2	species	O
3	have	O
4	phyllodes	O
5	instead	O
6	of	O
7	true	O
8	leaves	O
0		
1	Requires	O
2	full	O
3	sun	O
4	and	O
5	well-drained	O
6	soil	O
0		
1	Propagate	O
2	by	O
3	seed	O
4	in	O
5	spring	O
0		
1	Red	O
2	spider	O
3	mite	O
4	and	O
5	mealy	O
6	bug	O
7	may	O
8	be	O
9	problematic	O
0		
1	acacia	O
2	baileyana,	O
3	illus	O
0		
1	‘Purpurea’,	O
2	illus	O
0		
1	acacia	O
2	dealbata,	O
3	illus	O
0		
1	acacia	O
2	juniperina	O
0		
1	See	O
2	acacia	O
3	ulicifolia	O
0		
1	acacia	O
2	longifolia	O
3	(Sydney	O
4	golden	O
5	wattle)	O
0		
1	Evergreen,	O
2	spreading	O
3	tree	O
0		
1	H	O
2	and	O
3	S	O
4	20ft	O
5	(6m)	O
0		
1	Has	O
2	narrowly	O
3	oblong,	O
4	dark	O
5	green	O
6	phyllodes	O
0		
1	Bears	O
2	cylindrical	O
3	clusters	O
4	of	O
5	golden-yellow	O
6	flowers	O
7	in	O
8	early	O
9	spring	O
0		
1	Z9–11	O
2	H12–1	O
0		
1	acacia	B
2	podalyriifolia	I
3	(Mount	O
4	Morgan	O
5	wattle,	O
6	Queensland	O
7	silver	O
8	wattle)	O
0		
1	Evergreen,	O
2	arching	O
3	shrub	O
0		
1	H	O
2	10–15ft	O
3	(3–5m),	O
4	S	O
5	10–12ft	O
6	(3–4m)	O
0		
1	Has	O
2	blue-green	O
3	phyllodes	O
4	and	O
5	produces	O
6	racemes	O
7	of	O
8	bright	O
9	yellow	O
10	flowers	O
11	in	O
12	spring	O
0		
1	Z11	O
2	H11–10	O
0		
1	acacia	O
2	pravissima,	O
3	illus	O
0		
1	acacia	O
2	pulchella,	O
3	illus	O
0		
1	acacia	O
2	ulicifolia,	O
3	syn	O
0		
1	acacia	O
2	juniperina	O
0		
1	Evergreen,	O
2	bushy	O
3	shrub	O
0		
1	H	O
2	3ft	O
3	(1m),	O
4	S	O
5	5ft	O
6	(1	O
0		
1	Has	O
2	very	O
3	narrow,	O
4	cylindrical,	O
5	spine-like,	O
6	rich	O
7	green	O
8	phyllodes	O
9	and,	O
10	in	O
11	mid-spring,	O
12	globular	O
13	clusters	O
14	of	O
15	pale	O
16	yellow	O
17	flowers	O
0		
1	Z11–15	O
2	H12–10	O
0		
1	acacia	B
2	verticillata	I
3	(Prickly	O
4	Moses)	O
0		
1	Evergreen,	O
2	spreading	O
3	tree	O
4	or	O
5	bushy	O
6	shrub	O
0		
1	H	O
2	and	O
3	S	O
4	28ft	O
5	(9m)	O
0		
1	Has	O
2	needlelike,	O
3	dark	O
4	green	O
5	phyllodes	O
6	and,	O
7	in	O
8	spring,	O
9	dense,	O
10	bottle	O
11	brushlike	O
12	spikes	O
13	of	O
14	bright	O
15	yellow	O
16	flowers	O
0		
1	Z11	O
2	H11–10	O
0		
1	ACAENA	O
2	acaena	O
3	venustum	O
0		
1	Evergreen,	O
2	cushionforming	O
3	perennial	O
0		
1	H	O
2	and	O
3	S	O
4	4in	O
5	(10cm)	O
0		
1	Small	O
2	spikes	O
3	of	O
4	star-shaped,	O
5	pink	O
6	flowers,	O
7	on	O
8	11/4in	O
9	(3cm)	O
10	stems,	O
11	are	O
12	produced	O
13	from	O
14	late	O
15	spring	O
16	to	O
17	early	O
18	summer	O
19	amid	O
20	rosetted,	O
21	spear-shaped,	O
22	spiny,	O
23	blue-green	O
24	leaves	O
25	that	O
26	are	O
27	edged	O
28	with	O
29	silver	O
0		
1	Needs	O
2	a	O
3	very	O
4	hot,	O
5	well-drained	O
6	site	O
0		
1	Makes	O
2	an	O
3	excellent	O
4	alpine	O
5	house	O
6	plant	O
0		
1	Z7–9	O
2	H9–7	O
0		
1	See	O
2	Eleutherococcus,	O
3	except	O
4	for	O
5	acaena	O
6	ricinifolius,	O
7	for	O
8	which	O
9	see	O
10	Kalopanax	O
11	septemlobus	O
0		
1	ACANTHUS	O
2	ACANTHACEAE	O
3	Genus	O
4	of	O
5	perennials,	O
6	some	O
7	of	O
8	which	O
9	are	O
10	semievergreen,	O
11	grown	O
12	for	O
13	their	O
14	large,	O
15	deeply	O
16	cut	O
17	leaves	O
18	and	O
19	their	O
20	spikes	O
21	of	O
22	flowers	O
0		
1	Prefers	O
2	full	O
3	sun,	O
4	warm	O
5	conditions	O
6	and	O
7	well-drained	O
8	soil,	O
9	but	O
10	will	O
11	tolerate	O
12	shade	O
0		
1	Protect	O
2	crowns	O
3	in	O
4	first	O
5	winter	O
6	after	O
7	planting	O
0		
1	Long,	O
2	thong-like	O
3	roots	O
4	make	O
5	plants	O
6	difficult	O
7	to	O
8	eradicate	O
9	if	O
10	wrongly	O
11	placed	O
0		
1	Propagate	O
2	by	O
3	seed	O
4	or	O
5	division	O
6	in	O
7	early	O
8	fall	O
9	or	O
10	spring,	O
11	or	O
12	by	O
13	root	O
14	cuttings	O
15	in	O
16	winter	O
0		
1	acanthus	O
2	balcanicus	O
0		
1	See	O
2	acanthus	O
3	hungaricus	O
0		
1	acanthus	O
2	dioscoridis	O
0		
1	Upright,	O
2	architectural	O
3	perennial	O
0		
1	H	O
2	to	O
3	3ft	O
4	(1m),	O
5	S	O
6	18in	O
7	(45cm)	O
0		
1	Has	O
2	oval,	O
3	deeply	O
4	cut,	O
5	rigid,	O
6	basal	O
7	leaves	O
8	and	O
9	hairy	O
10	stems	O
0		
1	Dense	O
2	spikes	O
3	of	O
4	small,	O
5	funnelshaped,	O
6	purple-and-white	O
7	flowers	O
8	are	O
9	produced	O
10	in	O
11	summer	O
0		
1	Z6–9	O
2	H9–6	O
0		
1	acanthus	O
2	hungaricus,	O
3	syn	O
0		
1	acanthus	O
2	balcanicus,	O
3	acanthus	O
4	longifolius	O
5	(Balkan	O
6	bear’s	O
7	breeches)	O
0		
1	Upright	O
2	perennial	O
0		
1	H	O
2	2–3ft	O
3	(60cm–1m),	O
4	S	O
5	3ft	O
6	(1m)	O
0		
1	Has	O
2	long,	O
3	deeply	O
4	cut,	O
5	basal,	O
6	dark	O
7	green	O
8	leaves	O
0		
1	Spikes	O
2	of	O
3	white	O
4	or	O
5	pinkflushed	O
6	flowers,	O
7	set	O
8	in	O
9	spiny,	O
10	red-purple	O
11	bracts,	O
12	are	O
13	borne	O
14	in	O
15	summer	O
0		
1	Z6–9	O
2	H9–5	O
0		
1	acanthus	O
2	longifolius	O
0		
1	See	O
2	acanthus	O
3	hungaricus	O
0		
1	acanthus	B
2	mollis	I
3	(Common	O
4	bear’s	O
5	breeches)	O
0		
1	Semievergreen,	O
2	stately,	O
3	upright	O
4	perennial	O
0		
1	H	O
2	4ft	O
3	(1	O
0		
1	2m),	O
2	S	O
3	18in	O
4	(45cm)	O
0		
1	Has	O
2	long,	O
3	oval,	O
4	deeply	O
5	cut,	O
6	bright	O
7	green	O
8	leaves	O
9	and,	O
10	in	O
11	summer,	O
12	produces	O
13	many	O
14	spikes	O
15	of	O
16	funnelshaped,	O
17	mauve-and-white	O
18	flowers	O
0		
1	Z7–11	O
2	H11–7	O
0		
1	‘Hollard’s	O
2	Gold’,	O
3	illus	O
0		
1	acanthus	B
2	spinosus	I
3	(Spiny	O
4	bear’s	O
5	breeches),	O
6	illus	O
0		
1	ACCA	O
2	MYRTACEAE	O
3	Genus	O
4	of	O
5	evergreen,	O
6	opposite-leaved	O
7	shrubs,	O
8	grown	O
9	for	O
10	their	O
11	shallowly	O
12	cupshaped	O
13	flowers	O
0		
1	Needs	O
2	a	O
3	sheltered,	O
4	sunny	O
5	site	O
6	and	O
7	light,	O
8	well-drained	O
9	soil	O
0		
1	Propagate	O
2	by	O
3	seed	O
4	sown	O
5	as	O
6	soon	O
7	as	O
8	ripe	O
9	or	O
10	by	O
11	semiripe	O
12	cuttings	O
13	in	O
14	summer	O
0		
1	acca	O
2	sellowiana,	O
3	illus	O
0		
1	ACER	O
2	ACERACEAE/SAPINDACEAE	O
3	Genus	O
4	of	O
5	deciduous	O
6	or	O
7	evergreen	O
8	trees	O
9	and	O
10	shrubs,	O
11	grown	O
12	for	O
13	their	O
14	foliage,	O
15	which	O
16	often	O
17	colors	O
18	brilliantly	O
19	in	O
20	fall	O
21	and,	O
22	in	O
23	some	O
24	cases,	O
25	for	O
26	their	O
27	ornamental	O
28	bark	O
29	or	O
30	stems	O
0		
1	Small,	O
2	but	O
3	often	O
4	attractive	O
5	flowers	O
6	are	O
7	followed	O
8	by	O
9	2-winged	O
10	fruits	O
0		
1	Requires	O
2	sun	O
3	or	O
4	semi-shade	O
5	and	O
6	fertile,	O
7	moist	O
8	but	O
9	welldrained	O
10	soil	O
0		
1	Many	O
2	acers	O
3	produce	O
4	their	O
5	best	O
6	fall	O
7	color	O
8	on	O
9	neutral	O
10	to	O
11	acid	O
12	soil	O
0		
1	Propagate	O
2	species	O
3	by	O
4	seed	O
5	as	O
6	soon	O
7	as	O
8	ripe	O
9	or	O
10	in	O
11	fall;	O
12	ACAENA	O
13	ROSACEAE	O
14	Genus	O
15	of	O
16	mainly	O
17	summer-flowering	O
18	subshrubs	O
19	and	O
20	perennials,	O
21	evergreen	O
22	in	O
23	all	O
24	but	O
25	the	O
26	severest	O
27	winters,	O
28	grown	O
29	for	O
30	their	O
31	leaves	O
32	and	O
33	colored	O
34	burs	O
35	and	O
36	as	O
37	groundcover	O
0		
1	Has	O
2	tight,	O
3	rounded	O
4	heads	O
5	of	O
6	small	O
7	flowers	O
0		
1	Is	O
2	good	O
3	for	O
4	a	O
5	rock	O
6	garden	O
0		
1	Some	O
2	species	O
3	may	O
4	be	O
5	invasive	O
0		
1	Needs	O
2	sun	O
3	or	O
4	partial	O
5	shade	O
6	and	O
7	well-drained	O
8	soil	O
0		
1	Propagate	O
2	by	O
3	division	O
4	in	O
5	early	O
6	spring	O
7	or	O
8	by	O
9	seed	O
10	in	O
11	fall	O
0		
1	acaena	O
2	anserinifolia	O
0		
1	See	O
2	acaena	O
3	novae-zelandiae	O
0		
1	acaena	O
2	buchananii	O
0		
1	Vigorous,	O
2	evergreen,	O
3	prostrate	O
4	perennial	O
0		
1	H	O
2	3/4in	O
3	(2cm),	O
4	S	O
5	30in	O
6	(75cm)	O
7	or	O
8	more	O
0		
1	Bears	O
2	glaucous	O
3	leaves	O
4	composed	O
5	of	O
6	11–17	O
7	oval,	O
8	toothed	O
9	leaflets	O
0		
1	Globose,	O
2	green	O
3	flower	O
4	heads	O
5	are	O
6	borne	O
7	in	O
8	summer	O
9	and	O
10	develop	O
11	into	O
12	spiny,	O
13	yellowgreen	O
14	burs	O
0		
1	Z6–8	O
2	H8–6	O
0		
1	acaena	O
