S. sargentiana, not metaphorical, multiword expression
A. cordifolius, not metaphorical, multiword expression
A. procera, not metaphorical, multiword expression
A. hupehensis, not metaphorical, multiword expression
A. pravissima, not metaphorical, multiword expression
R. Simply Sally, not metaphorical, multiword expression
R. Margaret Merril, not metaphorical, multiword expression
A. californica, not metaphorical, multiword expression
A. haworthii, not metaphorical, multiword expression
A. lobelia, not metaphorical, multiword expression
W. frutescens, not metaphorical, multiword expression
A. cathartica, not metaphorical, multiword expression
A. ranunculoides, not metaphorical, multiword expression
A. ciliaris, not metaphorical, multiword expression
C. sieberi, not metaphorical, multiword expression
P. peregrine, metaphorical, multiword expression
A. nikoense, not metaphorical, multiword expression
C. etruscus, not metaphorical, multiword expression
C. glomerata, not metaphorical, multiword expression
A. viridiﬂora, not metaphorical, multiword expression
C. alba, metaphorical, multiword expression
L. pomponium, not metaphorical, multiword expression
A. aegyptica, not metaphorical, multiword expression
A. arboretum, not metaphorical, multiword expression
H. paniculat, not metaphorical, multiword expression
R. rubiginosa, not metaphorical, multiword expression
R. Rhapsody in blue, not metaphorical, multiword expression
R. Remembrance, metaphorical, multiword expression
B. prismatocarpa, not metaphorical, multiword expression
H. aspera, metaphorical, multiword expression
L. rubellum, not metaphorical, multiword expression
R. Champagne moments, metaphorical, multiword expression
A. commutatum, not metaphorical, multiword expression
H. paniculata pink diamond, metaphorical, multiword expression
R. sinogrande, not metaphorical, multiword expression
R. maxima, not metaphorical, multiword expression
T. kaufmanniana, not metaphorical, multiword expression
P. vulgaris, not metaphorical, multiword expression
L. Henryi, not metaphorical, multiword expression
A. duplicate, not metaphorical, multiword expression
I. x koehneana, not metaphorical
R. Meredith, not metaphorical, multiword expression
R. constance spry, metaphorical, multiword expression
E. cinerea, not metaphorical, multiword expression
A. platanoides, not metaphorical, multiword expression
R. fulgida var. deamii, not metaphorical, multiword expression
G. x colvillii, not metaphorical, multiword expression
A. platanifolium, not metaphorical, multiword expression
C. Rosemoor, not metaphorical, multiword expression
A. ericoides, not metaphorical, multiword expression
A. natans, not metaphorical, multiword expression
N. Marliacea Group, not metaphorical, multiword expression
A. pseudoplatanus, not metaphorical, multiword expression
A. hippocastanum, not metaphorical, multiword expression
I. reticulata, not metaphorical, multiword expression
S. patens, not metaphorical, multiword expression
E.G. Waterhouse, metaphorical, multiword expression
B. masoniana, metaphorical, multiword expression
A. antirrhina, not metaphorical, multiword expression
A. rosea, not metaphorical, multiword expression
L. stoechas, not metaphorical, multiword expression
A. scott-thomsonii, not metaphorical, multiword expression
I. germanica, not metaphorical, multiword expression
A. macrantha, not metaphorical, multiword expression
A. cappadocicum subsp lobelii, not metaphorical, multiword expression
A. quinata, not metaphorical, multiword expression
A. indica, not metaphorical, multiword expression
A. x bicolor, not metaphorical, multiword expression
A. palmatum, not metaphorical, multiword expression
R. Remember me, metaphorical, multiword expression
B. sutherlandii, not metaphorical, multiword expression
B. boliviensis, not metaphorical, multiword expression
A. microphylla, not metaphorical, multiword expression
C. vernus, not metaphorical, multiword expression
L. Triumphator, not metaphorical, multiword expression
A. hungaricus, not metaphorical, multiword expression
L. pardalinum subsp. wigginsii, not metaphorical, multiword expression
E. purpurea, not metaphorical
P. vulgaris subsp. Sibthorpii, not metaphorical, multiword expression
A. napellus subsp. vulgare, not metaphorical, multiword expression
L. lankongense, not metaphorical, multiword expression
P. polymorpha, not metaphorical, multiword expression
R. Golden beauty, metaphorical, multiword expression
H. arborescens, not metaphorical, multiword expression
P. cambessedesii, not metaphorical, multiword expression
A. capillus-veneris, not metaphorical, multiword expression
S. intermedia, not metaphorical, multiword expression
A. ﬂava, metaphorical, multiword expression
A. utahensis, not metaphorical, multiword expression
S. thibetica, not metaphorical, multiword expression
G.F. Wilson, not metaphorical, multiword expression
S. commixta, not metaphorical, multiword expression
A. alba of gardens, metaphorical, multiword expression
E. erigena f. alba, metaphorical, multiword expression
S. argéntea, not metaphorical, multiword expression
R. Loving memory, metaphorical, multiword expression
A. speciosus, not metaphorical, multiword expression
S. vilmorinii, not metaphorical, multiword expression
N. bulbocodium, not metaphorical, multiword expression
P. vialii, not metaphorical, multiword expression
R. williamsianum, not metaphorical, multiword expression
A. hemmingii, not metaphorical, multiword expression
S. calcareum, not metaphorical, multiword expression
R. decorum, not metaphorical, multiword expression
B. dregei, not metaphorical, multiword expression
A. triﬂorum, not metaphorical, multiword expression
A. Canadensis,  not metaphorical, multiword expression
A. x domesticum, not metaphorical, multiword expression
A. argentea of gardens, metaphorical, multiword expression
A. grandiﬂorum,  not metaphorical, multiword expression
I. aquifolium, not metaphorical, multiword expression
A. juniperina, not metaphorical, multiword expression
P. frondosa, metaphorical, multiword expression
A. hemsleyanum, not metaphorical, multiword expression
C. Chantilly, not metaphorical, multiword expression
I. foetidissima, not metaphorical, multiword expression
L. martagon var. Álbum, not metaphorical, multiword expression
R. Teasing Georgia, not metaphorical, multiword expression
A. glabra, not metaphorical, multiword expression
P. whippleanus, not metaphorical, multiword expression
A. pulchella, metaphorical, multiword expression
R. niveum, not metaphorical, multiword expression
R. Alexander, not metaphorical  , multiword expression
I. pseudacorus, not metaphorical, multiword expression
A. pulchellum, metaphorical, multiword expression
C. capitata, not metaphorical, multiword expression
M. sprengeri var. diva, not metaphorical, multiword expression
C. montana, not metaphorical, multiword expression
L. pyrenaicum, not metaphorical, multiword expression
L. angustifolia little lottie, not metaphorical, multiword expression
P. suffruticosa, not metaphorical, multiword expression
R. Many happy returns, not metaphorical, multiword expression
M. x loebneri, not metaphorical, multiword expression
R. Crazy for you, metaphorical, multiword expression
A. Americana, not metaphorical, multiword expression
A. reptans, not metaphorical, multiword expression
P. Charisma Series, not metaphorical, multiword expression
S. tectorum, not metaphorical, multiword expression
L. auratum var. platyphyllum, not metaphorical, multiword expression
A. longifolius, not metaphorical, multiword expression
A. arborescens, not metaphorical, multiword expression
A. Inca ice, metaphorical, multiword expression
B. J. Beauty, metaphorical, multiword expression
A. africanus, not metaphorical, multiword expression
A. racemosa, not metaphorical, multiword expression
E. x darleyensis, not metaphorical, multiword expression
W. sinensis, not metaphorical, multiword expression
A. octandra, not metaphorical, multiword expression
I. unguicularis subsp. cretensis I, not metaphorical, multiword expression
R. Easy going, metaphorical, multiword expression
A. Inca tropic, not metaphorical, multiword expression
A. lobata, not metaphorical, multiword expression
R. Gardeners glory, metaphorical, multiword expression
A. potaninii, metaphorical, multiword expression
A. glumaceum, not metaphorical, multiword expression
A. venustum, not metaphorical, multiword expression
A. macrophyllum, not metaphorical, multiword expression
A. lycoctonum subsp. vulparia, not metaphorical, multiword expression
A. saccharum, not metaphorical, multiword expression
R. Savoy hotel, not metaphorical, multiword expression
L. Citronella Group, not metaphorical, multiword expression
L. canadense, not metaphorical, multiword expression
R. Joie de vivre, metaphorical, multiword expression
R. laciniata, not metaphorical, multiword expression
S. aria, not metaphorical, multiword expression
A. ﬁlifera, not metaphorical, multiword expression
A. julibrissin, not metaphorical, multiword expression
P. rubra, not metaphorical, multiword expression
P. veris, not metaphorical, multiword expression
R. Fellowship, metaphorical, multiword expression
C. speciosus, metaphorical, multiword expression
S. meyeri, not metaphorical, multiword expression
L. martagon, not metaphorical, multiword expression
P. veitchii, not metaphorical, multiword expression
R. Royal William, metaphorical, multiword expression
C. D. Eason, not metaphorical, multiword expression
A. balcanicus, not metaphorical, multiword expression
A. schottii, not metaphorical, multiword expression
A. victoriae-reginae, not metaphorical, multiword expression
P. Blue wonder, metaphorical, multiword expression
C. sanguinea, metaphorical, multiword expression
A. cooperi, not metaphorical, multiword expression
A. vernalis, not metaphorical, multiword expression
A. millefolium, not metaphorical, multiword expression
C. rehderiana, not metaphorical, multiword expression
F. California Dreamers Serie, not metaphorical, multiword expression
A. arguta, not metaphorical, multiword expression
R. Gordon’s College, not metaphorical, multiword expression
A. triternata, not metaphorical, multiword expression
C. persicifolia, not metaphorical, multiword expression
R. Evelyn, not metaphorical, multiword expression
R. Paul Shirville, not metaphorical, multiword expression
A. coerulea, not metaphorical, multiword expression
A. verticillata, not metaphorical, multiword expression
L. stoechas f. rosea, not metaphorical, multiword expression
D. happy single kiss, metaphorical, multiword expression
A. capillipes, not metaphorical, multiword expression
L. medeoloides, not metaphorical, multiword expression
P. ludlowii, not metaphorical, multiword expression
A. caerulea, not metaphorical, multiword expression
F. magellanica var. Gracilis, not metaphorical, multiword expression
A. trifoliata, not metaphorical, multiword expression
A. megapotamicum, not metaphorical, multiword expression
L. African Queen Group, not metaphorical, multiword expression
A. delavayi, not metaphorical, multiword expression
A. potatorum, not metaphorical, multiword expression
E. Erigena, not metaphorical, multiword expression
I. x robusta, not metaphorical, multiword expression
A. veitchii, not metaphorical, multiword expression
R. Isn’t she lovely, metaphorical, multiword expression
L. sempervirens, not metaphorical, multiword expression
C. Anna Louise, not metaphorical, multiword expression
P. amplexicaulis, not metaphorical, multiword expression
A. grandiﬂora,  not metaphorical, multiword expression
C. armandii, not metaphorical, multiword expression
E. arborea var. alpina, not metaphorical, multiword expression
A. napellus, not metaphorical, multiword expression
R. George best, not metaphorical, multiword expression
A. chinensis, not metaphorical, multiword expression
K. thomsonii var. snowdenii, not metaphorical, multiword expression
B. albopicta, not metaphorical, multiword expression
W. brachybotrys, not metaphorical, multiword expression
A. caesiiglauca, not metaphorical, multiword expression
A. x carnea, not metaphorical, multiword expression
S. x pérsica, not metaphorical, multiword expression
K. rooper, not metaphorical, multiword expression
D. grandiﬂorum, not metaphorical, multiword expression
R. Penny lane, metaphorical, multiword expression
L. chalcedonicum, not metaphorical, multiword expression
R. maid of honour, metaphorical, multiword expression
A. marmoratus, not metaphorical, multiword expression
M. campbellii, not metaphorical, multiword expression
H. citrina, not metaphorical, multiword expression
A. griseum, not metaphorical, multiword expression
A. buergerianum, not metaphorical, multiword expression
C. nuttallii, not metaphorical, multiword expression
A. lasiocarpa, not metaphorical, multiword expression
L. regale, metaphorical, multiword expression
R. glauca, not metaphorical, multiword expression
B. alternifolia, not metaphorical, multiword expression
S. megalocarpa, not metaphorical, multiword expression
H. macrophylla, not metaphorical, multiword expression
R. occidentalis, not metaphorical, multiword expression
A. opalus, not metaphorical, multiword expression
A. calamus, not metaphorical, multiword expression
P. elatior, not metaphorical, multiword expression
R. Dublin bay, metaphorical, multiword expression
R. High hopes, metaphorical, multiword expression
S. cashmiriana, not metaphorical, multiword expression
F. fulgens, not metaphorical, multiword expression
S. pubescens subsp. patula, not metaphorical, multiword expression
S. uliginosa, not metaphorical, multiword expression
A. ﬂexuosa, metaphorical, multiword expression
A. major, not metaphorical, multiword expression
A. pedatum, not metaphorical, multiword expression
S. x jamensis, not metaphorical, multiword expression
C. alternifolia, not metaphorical, multiword expression
S. esserteauana, not metaphorical, multiword expression
A. coccinea, not metaphorical, multiword expression
C. lactiﬂora, not metaphorical, multiword expression
R. Burgundy ice, metaphorical, multiword expression
C. sericea, not metaphorical, multiword expression
R. Super trooper, metaphorical, multiword expression
L. leichtlinii, not metaphorical, multiword expression
M. grandiﬂora, not metaphorical, multiword expression
A. oblongifolia, not metaphorical, multiword expression
C. Blue moon, metaphorical, multiword expression
S. vulgaris, not metaphorical, multiword expression
H. sieboldiana, not metaphorical, multiword expression
H. dumortieri, not metaphorical, multiword expression
A. tabuliforme, not metaphorical, multiword expression
A. pulcher, not metaphorical, multiword expression
A. praecox subsp. orientalis, not metaphorical, multiword expression
C. fasciculiﬂora, not metaphorical, multiword expression
R. Bridge of sighs, metaphorical, multiword expression
M. baileyi, not metaphorical, multiword expression
A. spectabilis, not metaphorical, multiword expression
A. nordmanniana, not metaphorical, multiword expression
A. striata, not metaphorical, multiword expression
L. lanata, metaphorical, multiword expression
S. pratensis, not metaphorical, multiword expression
A. shirasawanum, not metaphorical, multiword expression
R. Easy does it, metaphorical, multiword expression
A. pectinatum subsp. laxiﬂorum, not metaphorical, multiword expression
E. vagans, not metaphorical, multiword expression
P. Opal, metaphorical, multiword expression
A. hupehensis var. Japónica, not metaphorical, multiword expression
S. telephium, not metaphorical, multiword expression
M. x brooklynensis, not metaphorical, multiword expression
G. acaulis, not metaphorical, multiword expression
C. reticulate, not metaphorical, multiword expression
B. colvilei, not metaphorical, multiword expression
L. monadelphum, not metaphorical, multiword expression
A. splendens, not metaphorical, multiword expression
A. lophantha, not metaphorical, multiword expression
P. suffrutixcosa, not metaphorical, multiword expression
A. negundo, not metaphorical, multiword expression
A. parrasana, not metaphorical, multiword expression
N. tetragona, not metaphorical, multiword expression
R. The prince’s trust, metaphorical, multiword expression
S. spectabile, not metaphorical, multiword expression
S. verticillata, not metaphorical, multiword expression
A. digitate, not metaphorical, multiword expression
A. fungosa, not metaphorical, multiword expression
A. ﬂabellata var. Pumila, not metaphorical, multiword expression
S. montanum, metaphorical, multiword expression
A. striatum, not metaphorical, multiword expression
I. sanguinea, metaphorical, multiword expression
C. x ehemanii, not metaphorical, multiword expression
A. aurea, metaphorical, multiword expression
A. humilis, metaphorical, multiword expression
B. davidii, not metaphorical, multiword expression
M. Fertile Blue Group, not metaphorical, multiword expression
L. tsingtauense, not metaphorical, multiword expression
A. rugosa, metaphorical, multiword expression
S. greggii cing Sugar, metaphorical, multiword expression
I. confuse,  metaphorical, multiword expression
A. mollis, not metaphorical, multiword expression
A. canadensis, not metaphorical, multiword expression
R. fulgida var. sullivantii, not metaphorical, multiword expression
A. x neglecta, not metaphorical, multiword expression
C. japonica, not metaphorical, multiword expression
A. pictum, metaphorical, multiword expression
A. altissima, not metaphorical, multiword expression
L. lancifolium, not metaphorical, multiword expression
A. cuneatum, not metaphorical, multiword expression
P. virginiana, metaphorical, multiword expression
R. White star, metaphorical, multiword expression
P. verticillata, not metaphorical, multiword expression
R. cinnabarinum, not metaphorical, multiword expression
A. dealbata, not metaphorical, multiword expression
f. tricolor, not metaphorical, multiword expression
M. x soulangeana, not metaphorical, multiword expression
R. Aphrodite, not metaphorical, multiword expression
C. cirrhosa var. purpurascens, not metaphorical, multiword expression
R. Benjamin Britten, not metaphorical, multiword expression
H. tokudama f. ﬂavocircinalis, not metaphorical, multiword expression
T. orphanidea, not metaphorical, multiword expression
A. x kellereri, not metaphorical, multiword expression
R. Julia child, metaphorical, multiword expression
R. orbiculare, not metaphorical, multiword expression
R. Laura Ford, not metaphorical, multiword expression
P. forrestii, not metaphorical, multiword expression
C. x cartmanii, not metaphorical, multiword expression
R. triloba, not metaphorical, multiword expression
C. controversa, metaphorical, multiword expression
A. novae-angliae, not metaphorical, multiword expression
A. variegata var, not metaphorical, multiword expression
G. sino-ornata, not metaphorical, multiword expression
P. alpicola, not metaphorical, multiword expression
A. houstonianum, not metaphorical, multiword expression
A. plantago-aquatica, not metaphorical, multiword expression
S. aizoon, not metaphorical, multiword expression
R. pachysanthum, not metaphorical, multiword expression
A. novi-belgii, not metaphorical, multiword expression
A. homolepis, not metaphorical, multiword expression
A. serpens, not metaphorical, multiword expression
R. flower carpet, metaphorical, multiword expression
A. alpine, not metaphorical, multiword expression
A. dioscoridis, not metaphorical, multiword expression
C. kousa, not metaphorical, multiword expression
A. monspessulanum, not metaphorical, multiword expression
A. x suntense, not metaphorical, multiword expression
A. maximowiczianum, not metaphorical, multiword expression
A. pyramidalis, metaphorical, multiword expression
C. Viennetta, not metaphorical, multiword expression
R. Nostalgia, metaphorical, multiword expression
P. japonica, not metaphorical, multiword expression
R. Alec’s red, not metaphorical, multiword expression
A. millefolium, metaphorical, multiword expression
R. rex subsp. ﬁctolacteum, not metaphorical, multiword expression
R. Peace, metaphorical, multiword expression
F. triphylla, not metaphorical, multiword expression
I. chrysographes, not metaphorical, multiword expression
A. longifolia, not metaphorical, multiword expression
P. Barnhaven Blues Group, not metaphorical, multiword expression
R. Rachel, not metaphorical, multiword expression
A. ligustrina, not metaphorical, multiword expression
C. ﬂorida, not metaphorical, multiword expression
W. ﬂoribunda, not metaphorical, multiword expression
P. kunthii, not metaphorical, multiword expression
R. cardinal hume, metaphorical, multiword expression
D. cantabrica, not metaphorical, multiword expression
A. pachypoda, not metaphorical, multiword expression
A. x hybrida, not metaphorical, multiword expression
N. Laydekeri Group, not metaphorical, multiword expression
R. Golden memories, metaphorical, multiword expression
H. lilioasphodelus, not metaphorical, multiword expression
P. Gold-laced Group, not metaphorical, multiword expression
A. ﬁlipendulin, not metaphorical, multiword expression
A. orientale, not metaphorical, multiword expression
A. gramineus var. pusillus, not metaphorical, multiword expression
C. kousa var. chinensis, not metaphorical, multiword expression
E.A. Bowles, metaphorical, multiword expression
T. saxatilis, not metaphorical, multiword expression
A. variegata, not metaphorical, multiword expression
A. x lewisii, not metaphorical, multiword expression
A. clavennae, not metaphorical, multiword expression
H. nigrescens, not metaphorical, multiword expression
D. Superbus, not metaphorical, multiword expression
L. longiﬂorum, not metaphorical, multiword expression
A. vulgaris var. Stellata, metaphorical, multiword expression
A. longissimi, metaphorical, multiword expression
P. glaber, not metaphorical, multiword expression
P. allionii, not metaphorical, multiword expression
F. Windchimes Series, not metaphorical, multiword expression
M. Infertile Blue Group, metaphorical, multiword expression
A. aristata, not metaphorical, multiword expression
C. hadriaticus, not metaphorical, multiword expression
C. x williamsii, not metaphorical, multiword expression
A. x pentaphylla,  not metaphorical, multiword expression
A. aleuticum, not metaphorical, multiword expression
A. carmichaelii, not metaphorical, multiword expression
D. Happy single first love, metaphorical, multiword expression
R. calophytum, not metaphorical, multiword expression
S. erythrostictum, not metaphorical, multiword expression
P. sikkimensis, not metaphorical, multiword expression
P. Decora Series, not metaphorical, multiword expression
A. pensylvanicum, not metaphorical, multiword expression
L. mackliniae, not metaphorical, multiword expression
A. glandulosa,  metaphorical, multiword expression
M. Infertile Blue Group,not metaphorical, multiword expression
A. macroacantha, not metaphorical, multiword expression
R. Red finesse, metaphorical, multiword expression
P. beesiana, not metaphorical, multiword expression
A. alba, not metaphorical, multiword expression
A. pavia, not metaphorical, multiword expression
B. x weyeriana, not metaphorical, multiword expression
R. Susan Daniel, not metaphorical, multiword expression
E. carnea, not metaphorical, multiword expression
A. raddianum, not metaphorical, multiword expression
R. Sweet dream, metaphorical, multiword expression
A. grosseri, not metaphorical, multiword expression
H. lancifolia, not metaphorical, multiword expression
A. amurensis, not metaphorical, multiword expression
A. japonicum, not metaphorical, multiword expression
I. hoogiana, not metaphorical, multiword expression
I. x altaclerensis, not metaphorical, multiword expression
R. arboretum, not metaphorical, multiword expression
K. caulescens, not metaphorical, multiword expression
P. aureata, metaphorical, multiword expression
B. scharfﬁi, not metaphorical, multiword expression
A. polianthiﬂora, not metaphorical, multiword expression
A. turbinate, not metaphorical, multiword expression
H. quercifolia, not metaphorical, multiword expression
P. obovata var. alba, not metaphorical, multiword expression
R. Double delight, metaphorical, multiword expression
A. ginnala, not metaphorical, multiword expression
A. campanulatus, not metaphorical, multiword expression
R. luteum, not metaphorical, multiword expression
I. x meserveae blue princess, metaphorical, multiword expression
R. Guy savoy, metaphorical, multiword expression
R. Guy’s gold, metaphorical, multiword expression
A. polígama, metaphorical, multiword expression
T. clusiana var. chrysantha, not metaphorical, multiword expression
C. montana var. rubens, not metaphorical, multiword expression
P. Crescendo Series, not metaphorical, multiword expression
S. x kewensis, not metaphorical, multiword expression
P. sieboldii, not metaphorical, multiword expression
A. grandidentatum, not metaphorical, multiword expression
S. guaranitica, not metaphorical, multiword expression
R. Chandos beauty, metaphorical, multiword expression
A. polianthes, not metaphorical, multiword expression
P. orientale var. bracteatum, not metaphorical, multiword expression
A. x aizoides var. domesticum, not metaphorical, multiword expression
A. vulgaris, not metaphorical, multiword expression
A. frankliniae, not metaphorical, multiword expression
R. pink perfection, metaphorical, multiword expression
A. crataegifolium, not metaphorical, multiword expression
S. giuseppii, not metaphorical, multiword expression
R. fulgida var. Speciosa, not metaphorical, multiword expression
I. japonica, not metaphorical, multiword expression
R. Freedom, metaphorical, multiword expression
F. magellanica, not metaphorical, multiword expression
L. periclymenum, not metaphorical, multiword expression
P. Husky Series, not metaphorical, multiword expression
A. laxiﬂorum, not metaphorical, multiword expression
B. bowerae, not metaphorical, multiword expression
B. dragon wing red, not metaphorical, multiword expression
D. coccinea, not metaphorical, multiword expression
R. belmonte, not metaphorical, multiword expression
A. longicaulis, not metaphorical, multiword expression
A. orientalis, not metaphorical, multiword expression
C. tommasinianus, not metaphorical, multiword expression
A. mexicana, not metaphorical, multiword expression
A. zebrinus, metaphorical, multiword expression
I. versicolor, not metaphorical, multiword expression
H. heteromalla, not metaphorical, multiword expression
H. aspera subsp. sargentiana, metaphorical, multiword expression
A. x crispa, not metaphorical, multiword expression
A. parryi, not metaphorical, multiword expression
A. vulparia, not metaphorical, multiword expression
A. carpinifolium, not metaphorical, multiword expression
H. paniculata pinky-winky, not metaphorical, multiword expression
B. salviifolia, not metaphorical, multiword expression
A. ﬁlipendulina, not metaphorical, multiword expression
P. x lemoinei, not metaphorical, multiword expression
L. japonica, not metaphorical, multiword expression
A. zebra, metaphorical, multiword expression
R. Alibaba, not metaphorical, multiword expression
R. Simply the best, metaphorical, multiword expression
T. praestans, not metaphorical, multiword expression
A. erecta, not metaphorical, multiword expression
R. Iceberg, metaphorical, multiword expression
A. armenum, not metaphorical, multiword expression
A. praecox subsp. orientalis,  not metaphorical, multiword expression
P. emodi, not metaphorical, multiword expression
M. napaulensis of gardens, metaphorical, multiword expression
A. attenuata, not metaphorical, multiword expression
C. Arctic queen, metaphorical, multiword expression
I. sibirica, not metaphorical, multiword expression
A. ﬂexispinam, not metaphorical, multiword expression
I. variegate, not metaphorical, multiword expression
P. pulverulenta, not metaphorical, multiword expression
A. pictum of gardens, metaphorical, multiword expression
C. Bourbon, metaphorical, multiword expression
R. falconeri, not metaphorical, multiword expression
N. odorata var. Minor, not metaphorical, multiword expression
A. maculosa, not metaphorical, multiword expression
L. bulbiferum var. croceum, not metaphorical, multiword expression
R. warm wishes, metaphorical, multiword expression
A. tenerum, not metaphorical, multiword expression
A. minor, metaphorical, multiword expression
L. superbum, not metaphorical, multiword expression
R. Lancashire, not metaphorical, multiword expression
S. aucuparia, not metaphorical, multiword expression
A. velutinum, not metaphorical, multiword expression
P. Horizon Deva Series, not metaphorical, multiword expression
S. microphylla, not metaphorical, multiword expression
R. Sweet magic, metaphorical, multiword expression
I. verticillata, metaphorical, multiword expression
A. incurvata, not metaphorical, multiword expression
R. Graham Thomas, not metaphorical, multiword expression
A. koreana, not metaphorical, multiword expression
I. magniﬁca, metaphorical, multiword expression
A. distachya, not metaphorical, multiword expression
H. paniculata, not metaphorical, multiword expression
P. denticulata var. Alba, not metaphorical, multiword expression
E. paradoxa, metaphorical, multiword expression
L. etrusca, not metaphorical, multiword expression
P. barbatus, metaphorical, multiword expression
A. psittacina, not metaphorical, multiword expression
P. chungensis, not metaphorical, multiword expression
A. rubrum, not metaphorical, multiword expression
R. Carris, not metaphorical, multiword expression
M. wilsonii, not metaphorical, multiword expression
C. ﬂorida var. sieboldiana, not metaphorical, multiword expression
P. Belarina Series, metaphorical, multiword expression
P. polyneura, not metaphorical, multiword expression
R. Mountbatten, not metaphorical, multiword expression
L. pardalinum, not metaphorical, multiword expression
A. argentea, metaphorical, multiword expression
M. liliiﬂora, not metaphorical, multiword expression
A. rubra, not metaphorical, multiword expression
A. forrestii, metaphorical, multiword expression
L. angustifolia, not metaphorical, multiword expression
A. chrysantha, not metaphorical, multiword expression
I. ensata, not metaphorical, multiword expression
L. cernuum, not metaphorical, multiword expression
A. saccaticupula, not metaphorical, multiword expression
C. ﬂorida pistachio, not metaphorical, multiword expression
A. iberideum, not metaphorical, multiword expression
A. aurantiaca, not metaphorical, multiword expression
R. Anna Ford, not metaphorical, multiword expression
S. ofﬁcinalis, not metaphorical, multiword expression
A. ferox, not metaphorical, multiword expression
P. orientale, not metaphorical, multiword expression
T. sylvestris, not metaphorical, multiword expression
A. conjuncta, not metaphorical, multiword expression
C. punctate, not metaphorical, multiword expression
I. pernyi, not metaphorical, multiword expression
R. quinquefolium, not metaphorical, multiword expression
A. balsamea, metaphorical, multiword expression
A. maculatus, not metaphorical, multiword expression
H. x intermedia, not metaphorical, multiword expression
T. acuminate, not metaphorical, multiword expression
C. sieberi subsp. sublimis, metaphorical, multiword expression
I. winogradowii, not metaphorical, multiword expression
W. sinensis, not metaphorical, multiword expressionS. forrestii, not metaphorical, multiword expression
P. palinuri,  not metaphorical, multiword expression
E.P. Bowles, metaphorical, multiword expression
A. volubile, metaphorical, multiword expression
A. anthora, not metaphorical, multiword expression
A. divaricatus, not metaphorical, multiword expression
P. afﬁnis, not metaphorical, multiword expression
C. masoniorum, not metaphorical, multiword expression
C. trachelium, not metaphorical, multiword expression
R. Silver anniversary, metaphorical, multiword expression
P. Antik Series antik salmon, metaphorical, multiword expression
A. cirrhosa, not metaphorical, multiword expression
P. bulleyana, not metaphorical, multiword expression
R. Summer song, metaphorical, multiword expression
S. komarowii subsp. reﬂexa, not metaphorical, multiword expression
I. bucharica, not metaphorical , multiword expression
