Lagerstroemia indica, not metaphorical, multiword expression
Cacti and succulents, not metaphorical, multiword expression
Climbing rose, metaphorical, multiword expression
Allium schubertii, not metaphorical, multiword expression
Sunsolos, not metaphorical, not multiword expression
Flamingo, metaphorical, not multiword expression
Agastache, not metaphorical, not multiword expression
Sabal minor, not metaphorical, multiword expression
Polka-dot plant, metaphorical, multiword expression
Fuji cherry, not metaphorical, multiword expression
Tecoma capensis, not metaphorical, multiword expression
Maudiae gx, not metaphorical, multiword expression
Happy single Romeo, metaphorical, multiword expression
Pulmonaria, not metaphorical, multiword expression
Dianthus carthusianorum, not metaphorical, multiword expression
Blue Jacket, metaphorical, multiword expression
Abies koreana, not metaphorical, multiword expression
Platycerium bifurcatum, not metaphorical, multiword expression
Arundo donax var. versicolor, not metaphorical, multiword expression
Aster alpinus, not metaphorical, multiword expression
Maihuenia poeppigii, not metaphorical, multiword expression
Cistus x cyprius, not metaphorical, multiword expression
Arabis procurrens, not metaphorical, multiword expression
Coerulea, not metaphorical, not multiword expression
Evitwo, not metaphorical, not multiword expression
Pinus bungeana, not metaphorical, multiword expression
Pinus heldreichii, not metaphorical, multiword expression
Pteris cretica, not metaphorical, multiword expression
The Pearl, metaphorical, multiword expression
Armeria maritima, not metaphorical, multiword expression
Picea, not metaphorical, not multiword expression
Cactaceae, not metaphorical, not multiword expression
Gymnocalycium gibbosum, not metaphorical, multiword expression
Black walnut, not metaphorical, multiword expression
Chanticleer, not metaphorical, not multiword expression
Rusty-back fern, not metaphorical, multiword expression
Argyroderma ﬁssum, not metaphorical, multiword expression
Bauhinia variegate, not metaphorical, multiword expression
Giant ﬁr, not metaphorical, multiword expression
Burgundy Lace, metaphorical, multiword expression
Bloody cranesbill, metaphorical, multiword expression
Olearia ilicifolia, not metaphorical, multiword expression
Aucuba japonica, not metaphorical, multiword expression
Haemanthus coccineus, not metaphorical, multiword expression
Horizon Deva Orange Ice, metaphorical, multiword expression
Papaver somniferum, not metaphorical, multiword expression
Digitalis purpurea f. albiﬂora, not metaphorical, multiword expression
Streptocarpus, not metaphorical, not multiword expression
Golden trumpet tree, metaphorical, multiword expression
Eryngium variifolium, not metaphorical, multiword expression
Lychnis viscaria, not metaphorical, multiword expression
Dianthus microlepis, not metaphorical, multiword expression
Percy Wiseman, metaphorical, multiword expression
Dove tree, metaphorical, multiword expression
Pelargonium peltatum, not metaphorical, multiword expression
Royal fern, metaphorical, multiword expression
Primula veris, not metaphorical, multiword expression
Heucher, not metaphorical, not multiword expression
Lathyrus latifolius, not metaphorical, multiword expression
Leopard plant, metaphorical, multiword expression
Asplenium nidus, not metaphorical, multiword expression
Laurus nobilis, metaphorical, multiword expression
Xanthosoma sagittifolium, not metaphorical, multiword expression
Tagetes, not metaphorical, not multiword expression
Geraldton waxﬂower, metaphorical, multiword expression
Betula ermanii, not metaphorical, multiword expression
Ausbaker, not metaphorical, not multiword expression
Pinus contorta var. latifolia, not metaphorical, multiword expression
Parker’s Variety, not metaphorical, multiword expression
Cotinus coggygria golden spirit, metaphorical, multiword expression
Miss Lucy, not metaphorical, multiword expression
Aquilegia, not metaphorical, not multiword expression
Choisya ternata, not metaphorical, multiword expression
Styrax japonicus, not metaphorical, multiword expression
Alionushka, not metaphorical, not multiword expression
Himalayan pine, not metaphorical, multiword expression
Variegatus, not metaphorical, not multiword expression
C. sanguinea, metaphorical, multiword expression
Pericallis x hybrida, not metaphorical, multiword expression
Prunus x cisterna, not metaphorical, multiword expression
Heavenly Blue, metaphorical, multiword expression
Mathiasella bupleroides, not metaphorical, multiword expression
Heliconia psittacorum, not metaphorical, multiword expression
Voss’s laburnum, not metaphorical, multiword expression
Melia azedarach, not metaphorical, multiword expression
Myosotidium hortensia, not metaphorical, multiword expression
Coquito, not metaphorical, not multiword expression
Christmas tree, metaphorical, multiword expression
Lily-of-the-valley, metaphorical, multiword expression
Enkianthus cernuus f. rubens, not metaphorical, multiword expression
Pleioblastus variegatus, not metaphorical, multiword expression
Haworthia truncate, not metaphorical, multiword expression
Enkianthus, not metaphorical, not multiword expression
Myosotis alpestris, not metaphorical, multiword expression
Saxifraga x apiculata, not metaphorical, multiword expression
Baptisia australis, not metaphorical, multiword expression
Nova Lux, metaphorical, multiword expression
Phyllostachys nigra f. henonis, not metaphorical, multiword expression
Epacris impressa, metaphorical, multiword expression
Peristrophe hyssopifolia, not metaphorical, multiword expression
Bethellii, not metaphorical, not multiword expression
Irish yew, not metaphorical, multiword expression
Blue passion ﬂower, metaphorical, multiword expression
Albéric Barbier, not metaphorical, multiword expression
Resedaceae, not metaphorical, not multiword expression
Tilia oliveri, not metaphorical, multiword expression
Viburnum x bodnantense, not metaphorical, multiword expression
Tropaeolum speciosum, not metaphorical, multiword expression
Parodia nivosa, not metaphorical, multiword expression
James, not metaphorical, not multiword expression
Common stag’s-horn fern, not metaphorical, multiword expression
Symphoricarpos, not metaphorical, not multiword expression
Cotoneaster x watereri, not metaphorical, multiword expression
Reseda odorata, not metaphorical, multiword expression
Herbstfeuer, not metaphorical, not multiword expression
Eryngium, not metaphorical, not multiword expression
Dove wings, metaphorical, multiword expression
Pyrus calleryana, not metaphorical, multiword expression
Duranta erecta, metaphorical, multiword expression
C. nuttallii, not metaphorical, multiword expression
Crassula sarcocaulis, not metaphorical, multiword expression
Erodium cheilanthifolium, not metaphorical, multiword expression
Ballade, metaphorical, not multiword expression
Delphinium nudicaule, metaphorical, multiword expression
Lady Diana, not metaphorical, multiword expression
Pachypodium lamerei, not metaphorical, multiword expression
Syngonium podophyllum, not metaphorical, multiword expression
Adiantum, not metaphorical, not multiword expression
Symplocos paniculata, not metaphorical, multiword expression
Blackthorn Apricot, not metaphorical, multiword expression
Billbergia nutans, not metaphorical, multiword expression
Pembury blue, not metaphorical, multiword expression
Kentish belle, metaphorical, multiword expression
Königin Charlotte, not metaphorical, multiword expression
Complicata, metaphorical, not multiword expression
Calluna vulgaris, not metaphorical, multiword expression
Pendan, not metaphorical,  not multiword expression
Paperbark maple, metaphorical, multiword expression
Alternanthera dentate, not metaphorical, multiword expression
S. vulgaris, not metaphorical, multiword expression
Terracotta, not metaphorical, not multiword expression
Pterocephalus perennis, not metaphorical, multiword expression
Sundown, metaphorical, not multiword expression
Achillea x kellereri, not metaphorical, multiword expression
Galanthus nivalis and cvs, not metaphorical, multiword expression
Leiophyllum buxifolium, not metaphorical, multiword expression
Alpine azalea, not metaphorical, multiword expression
Agapanthus, not metaphorical, not multiword expression
Evithree, not metaphorical, not multiword expression
Hibiscus rosa-sinensis, not metaphorical, multiword expression
Duvalia corderoyi, not metaphorical, multiword expression
Mertensia maritima, not metaphorical, multiword expression
Indian ﬁg, not metaphorical, multiword expression
Forsythia suspensa, metaphorical, multiword expression
Monkey puzzle, metaphorical, multiword expression
Zahara Starlight Rose, not metaphorical, multiword expression
Rosmarinus officinalis, not metaphorical, multiword expression
Koningin Fabiola, not metaphorical, multiword expression
Corallina Compacta, metaphorical, multiword expression
Rhipsalidopsis gaertneri, not metaphorical, multiword expression
Eucalyptus coccifera, not metaphorical, multiword expression
Tradescantia Andersoniana Group, not metaphorical, multiword expression
Helichrysum italicum, not metaphorical, multiword expression
Parkinsonia aculeate, not metaphorical, multiword expression
Sauromatum venosum, not metaphorical, multiword expression
Colletia hystrix, not metaphorical, multiword expression
Osakazuki, not metaphorical, not multiword expression
Primula forrestii, metaphorical, multiword expression
Scilla, not metaphorical, not multiword expression
Daphne odora, not metaphorical, multiword expression
Othonna cheirifolia, not metaphorical, multiword expression
Hyacinthoides non-scripta, metaphorical, multiword expression
Indianersommer, metaphorical, not multiword expression
Callistephus chinensi, not metaphorical, multiword expression
Androsace vandellii, not metaphorical, multiword expression
Balsam ﬁr, metaphorical, multiword expression
Agave americana, not metaphorical, multiword expression
Rose Glow, metaphorical, multiword expression
Miss Mason, not metaphorical, multiword expression
Queen Fabiola, metaphorical, multiword expression
Ulmo, not metaphorical, not multiword expression
Luxury Lace, metaphorical, multiword expression
Euphorbia hypericifolia, not metaphorical, multiword expression
Pulsatilla vernalis, not metaphorical, multiword expression
Cyphostemma juttae, not metaphorical, multiword expression
Daviesii, not metaphorical, not multiword expression
Ailanthus altissima, not metaphorical, multiword expression
Leonora, not metaphorical, not multiword expression
Vaccinium, not metaphorical, not multiword expression
California buckeye, not metaphorical, multiword expression
Silver jade plant, metaphorical, multiword expression
Nigra, not metaphorical, not multiword expression
Onoclea sensibilis, not metaphorical, multiword expression
Decaisnea fargesii, not metaphorical, multiword expression
Quercus nigra, not metaphorical, multiword expression
Cryptomeria japónica, not metaphorical, multiword expression
Serenade, metaphorical, not multiword expression
Senecio cineraria,  metaphorical, multiword expression
Brillant, metaphorical, not multiword expression
Artemisia alba, metaphorical, multiword expression
Malus prunifolia, not metaphorical, multiword expression
Palibin, not metaphorical, not multiword expression
Cyananthus lobatus f. albus, not metaphorical, multiword expression
Ceanothus, not metaphorical, not multiword expression
Embothrium coccineum, not metaphorical, multiword expression
Asarum caudatum, not metaphorical, multiword expression
Graskop, metaphorical, not multiword expression
Arenaria montana, not metaphorical, multiword expression
Clethra alnifolia, not metaphorical, multiword expression
Paphiopedilum, not metaphorical, multiword expression
Linum arboreum, not metaphorical, multiword expression
Nepenthes x hookeriana, not metaphorical, multiword expression
Yellow elder, metaphorical, multiword expression
Sarcococca humilis, not metaphorical, multiword expression
Southampton, not metaphorical, not multiword expression
Barosma pulchella, metaphorical, multiword expression
Kalanchoe laetivirens, not metaphorical, multiword expression
Chionodoxa, not metaphorical, multiword expression
Ballerina, metaphorical, not multiword expression
Cornukaempferia aurantiflora, not metaphorical, multiword expression
Dombeya x cayeuxii, not metaphorical, multiword expression
Globeﬂower, metaphorical, not multiword expression
Bertram Anderson, not metaphorical, multiword expression
Winged spindle, not metaphorical, multiword expression
Guinée, not metaphorical, not multiword expression
Hedychium densiﬂorum, not metaphorical, multiword expression
Vivid, metaphorical, not multiword expression
Sambucus nigra, not metaphorical, multiword expression
Daffodils, not metaphorical, not multiword expression
Azorina vidalii, not metaphorical, multiword expression
Hyssop, not metaphorical, not multiword expression
Chamaedorea elegans, metaphorical, multiword expression
Golden club, metaphorical, multiword expression
Abutilon vitifolium, not metaphorical, multiword expression
Bunchberry, not metaphorical, not multiword expression
Polygonatum x hybridum, not metaphorical, multiword expression
Scrophulariaceae, not metaphorical, not multiword expression
Iberis stonecress, not metaphorical, multiword expression
Persian stone cress, metaphorical, multiword expression
Border phlox, not metaphorical, multiword expression
Acanthus mollis, not metaphorical, multiword expression
Ferula communis, not metaphorical, multiword expression
Coralberry, metaphorical, not multiword expression
Torch cactus, not metaphorical, multiword expression
Mont Millais, not metaphorical, multiword expression
Viola aetolica, not metaphorical, multiword expression
Pamina, not metaphorical, not multiword expression
Paulownia tomentosa, not metaphorical, multiword expression
Perennials, not metaphorical, not multiword expression
Salix exigua, not metaphorical, multiword expression
Purple Queen, not metaphorical, multiword expression
Flamingo ﬂower, metaphorical, multiword expression
Allium narcissiﬂorum, metaphorical, multiword expression
Harwanted, not metaphorical, not multiword expression
Amaryllis belladona, metaphorical, multiword expression
Ghost, metaphorical, not multiword expression
Campanula takesimana, metaphorical, multiword expression
Cream cups, metaphorical, multiword expression
Pieris ﬂoribunda, not metaphorical, multiword expression
Serotina de Selys, not metaphorical, multiword expression
Crinum x powellii, not metaphorical, multiword expression
Kelwayi, not metaphorical, not multiword expression
Weldenia candida, metaphorical, multiword expression
Eucalyptus dalrympleana, not metaphorical, multiword expression
Euphorbia milii, not metaphorical, multiword expression
Cynoglossum amabile, metaphorical, multiword expression
Cassiope, not metaphorical, not multiword expression
Daphne bholua, not metaphorical, multiword expression
Captain Rawes, not metaphorical, multiword expression
Desfontainia spinosa, not metaphorical, multiword expression
Boston ivy, not metaphorical, multiword expression
Dollar Prinzessin, metaphorical, multiword expression
New Zealand, not metaphorical, multiword expression
Inula hookeri, not metaphorical, multiword expression
Apple blossom, not metaphorical, multiword expression
B. bowerae, not metaphorical, multiword expression
Glandularia, not metaphorical, not multiword expression
Symphoricarpos albus var. laevigatus, not metaphorical, multiword expression
Fallopia baldschuanica, not metaphorical, multiword expression
Ornithogalum balansae, not metaphorical, multiword expression
Harpur Crewe, not metaphorical, multiword expression
Alpine columbine, not metaphorical, multiword expression
Solanum seaforthianum, metaphorical, multiword expression
Azara microphylla, not metaphorical, multiword expression
Silver Moon, metaphorical, multiword expression
Osmunda regalis, not metaphorical, multiword expression
Conapri, not metaphorical, not multiword expression
Oleander, not metaphorical, not multiword expression
Geranium x oxonianum, not metaphorical, multiword expression
Clianthus puniceus, not metaphorical, multiword expression
Wisley White, metaphorical, multiword expression
Escallonia rubra, not metaphorical, multiword expression
Tattoo, metaphorical, not multiword expression
Taneiglat, not metaphorical, not multiword expression
Galtonia candicans, not metaphorical, multiword expression
Rhipsalis, not metaphorical, not multiword expression
Sedum obtusatum, not metaphorical, multiword expression
Campanula poscharskyana, metaphorical, multiword expression
Mount Adams gx, metaphorical, multiword expression
Générale, not metaphorical, not multiword expression
Rebutia deminuta, not metaphorical, multiword expression
Berwick Wood, not metaphorical, multiword expression
Kniphoﬁa, not metaphorical, not multiword expression
Lemon queen, metaphorical, multiword expression
Purleigh White, not metaphorical, multiword expression
Pinus sylvestris, not metaphorical	, multiword expression
Cotoneaster frigidus, metaphorical, multiword expression
White poplar, not metaphorical, multiword expression
Remembrance, metaphorical, not multiword expression
Triteleia ixiodes, not metaphorical, multiword expression
Hoya macgillivrayi, not metaphorical, multiword expression
Lavinia Maggi, not metaphorical, multiword expression
Follis, not metaphorical, not multiword expression
Hokusai, not metaphorical, not multiword expression
Quercus cerris, not metaphorical, multiword expression
Milky Way, metaphorical, multiword expression
Greyia sutherlandii, not metaphorical, multiword expression
Brim cup, metaphorical, multiword expression
Galanthus, not metaphorical, not multiword expression
Genista tenera, metaphorical, multiword expression
Chocamocha, not metaphorical, not multiword expression
Camellias, not metaphorical, not multiword expression
Acer pseudoplatanus, not metaphorical, multiword expression
Sorbus pseudohupehensis, not metaphorical, multiword expression
Cassinia leptophylla subsp. Fulvida, not metaphorical, multiword expression
Coombe Fishacre, not metaphorical, multiword expression
Hadspen abundance, metaphorical, multiword expression
Phyllodoce caerulea, not metaphorical, multiword expression
Strawberry tree, not metaphorical, multiword expression
Monica Wyatt, not metaphorical, multiword expression
Acaena caesiiglauca, not metaphorical, multiword expression
Elizabeth Killelay, not metaphorical, multiword expression
Canna iridiﬂora, not metaphorical, multiword expression
Sibirica, not metaphorical, not multiword expression
Mermaid, metaphorical, not multiword expression
Pittosporum tenuifolium, not metaphorical, multiword expression
Euonymus, not metaphorical, not multiword expression
Marjorie, not metaphorical, not multiword expression
Guarianthe bowringiana, not metaphorical, multiword expression
Robusta Green, not metaphorical, multiword expression
Cytisus battandieri, not metaphorical, multiword expression
Hemiorchis patlingii, not metaphorical, multiword expression
Astrantia maxima, not metaphorical, multiword expression
Morus nigra, not metaphorical, multiword expression
Prunus avium, not metaphorical, multiword expression
Lungworts, not metaphorical, not multiword expression
Maritime pine, not metaphorical, multiword expression
Dream weaver, metaphorical, multiword expression
Whichford, not metaphorical, not multiword expression
Eucalyptu, not metaphorical, not multiword expression
Eccremocarpus scaber, not metaphorical, multiword expression
Fatsia japónica, not metaphorical, multiword expression
Impatiens, not metaphorical, not multiword expression
Thermopsis rhombifolia, not metaphorical, multiword expression
Viola pedata, not metaphorical, multiword expression
Osmanthus x burkwoodii, not metaphorical, multiword expression
Ligularia, not metaphorical, not multiword expression
Yellow gentian, not metaphorical, multiword expression
Adolphe Audusson, not metaphorical, multiword expression
Molinia caerulea subsp. caerulea, not metaphorical, multiword expression
Ptelea trifoliate, not metaphorical, multiword expression
Hatiora gaertneri, not metaphorical, multiword expression
Turkish Delight, not metaphorical, multiword expression
Larix decidua, not metaphorical, multiword expression
Rhus glabra, not metaphorical, multiword expression
Tulipa, not metaphorical, not multiword expression
Prunella grandiflora, not metaphorical, multiword expression
Cimicifuga racemosa, not metaphorical, multiword expression
Blue Haze, metaphorical, multiword expression
Chestnut Leaf, not metaphorical, multiword expression
Golden Torch, metaphorical, multiword expression
Hedgehog broom, metaphorical, multiword expression
Hebe, not metaphorical, not multiword expression
Michaelmas daisies, not metaphorical, multiword expression
Lavandula stoechas, not metaphorical, multiword expression
Bella, metaphorical, not multiword expression
Lilium regale, not metaphorical, multiword expression
Ausmas, not metaphorical, not multiword expression
Allium atropurpureum, not metaphorical, multiword expression
Doronicum columnae, not metaphorical, multiword expression
Clianthus puniceus f. albus, not metaphorical, multiword expression
Grevillea juniperina f. sulphurea, not metaphorical, multiword expression
Black Pagoda, metaphorical, multiword expression
Crataegus monogyna, not metaphorical, multiword expression
Amsonia orientalis, not metaphorical, multiword expression
Flowering dogwoods, metaphorical, multiword expression
Hydrangea macrophylla, not metaphorical, multiword expression
Canescens, not metaphorical, not multiword expression
Solanum capsicastrum, metaphorical, multiword expression
Chrysosplenium macrophyllum, not metaphorical, multiword expression
Razzmatazz, not metaphorical, not multiword expression
Emerald Falls, metaphorical, multiword expression
Pinguicula grandiﬂora, not metaphorical, multiword expression
Lucifer, metaphorical, not multiword expression
Schlumbergera, not metaphorical, not multiword expression
Anthony Waterer, not metaphorical, multiword expression
Boughton dome, metaphorical, multiword expression
Morning gold, metaphorical, multiword expression
Evirida, not metaphorical, not multiword expression
Acer triﬂorum, not metaphorical, multiword expression
Prinsepia uniﬂora, not metaphorical, multiword expression
Rubra Plena, metaphorical, multiword expression
Hyacinthus orientalis, not metaphorical, multiword expression
Royalty, metaphorical, not multiword expression
Prunus maackii, not metaphorical, multiword expression
Aethionema grandiﬂorum, not metaphorical, multiword expression
Akebia trifoliate, not metaphorical, multiword expression
Ficus macrophylla, not metaphorical, multiword expression
Crataegus pedicellata, not metaphorical, multiword expression
Fuchsia, not metaphorical, not multiword expression
Feuersiegel, not metaphorical, not multiword expression
Climbing fumitory, metaphorical, multiword expression
Tillandsia lindenii, not metaphorical, multiword expression
Ramonda myconi, not metaphorical, multiword expression
Zingiber mioga, not metaphorical, multiword expression
Australian heath, metaphorical, multiword expression
Thuja plicata, not metaphorical, multiword expression
Agapanthus praecox, not metaphorical, multiword expression
Pensham Just Jayne, not metaphorical, multiword expression
Big-cone pine, metaphorical, multiword expression
Dalecarlica, not metaphorical, not multiword expression
Ausbord, not metaphorical, not multiword expression
Helleborus foetidus, not metaphorical, multiword expression
Vitis coignetiae, not metaphorical, multiword expression
Leuchtfunk, not metaphorical, not multiword expression
Grass of Parnassus, metaphorical, multiword expression
Halliana, not metaphorical, not multiword expression
Rhaphiolepis, not metaphorical, not multiword expression
Perovskia, not metaphorical, not multiword expression
Helvola, not metaphorical, not multiword expression
Biting stonecrop, metaphorical, multiword expression
Midwinter Fire, metaphorical, multiword expression
Cotoneaster hupehensis, not metaphorical, multiword expression
Valeriana ofﬁcinalis, not metaphorical, multiword expression
Fraxinus ornus, not metaphorical, multiword expression
Lineamaculatum, not metaphorical, not multiword expression
Royal red bugler, metaphorical, multiword expression
Amaranthus, not metaphorical, not multiword expression
Corokia cotoneaster, not metaphorical, multiword expression
Nepeta, not metaphorical, not multiword expression
Kerria japonica, not metaphorical, multiword expression
Asphodelus albus, not metaphorical, multiword expression
Acantholimon glumaceum, not metaphorical, multiword expression
Ornithogalum lanceolatum, not metaphorical, multiword expression
Handkerchief tree, metaphorical, multiword expression
Bicolor, not metaphorical, not multiword expression
Paul’s scarlet, metaphorical, multiword expression
Rhododendron, not metaphorical, not multiword expression
Pickerel weed, not metaphorical, multiword expression
Wave Purple, not metaphorical, multiword expression
Rimpo, not metaphorical, not multiword expression
Coriaria terminalis var. xanthocarpa, not metaphorical, multiword expression
Puschkinia scilloides, not metaphorical, multiword expression
Northern pitch pine, not metaphorical, multiword expression
Corydalis ochroleuca, not metaphorical, multiword expression
Persicaria afﬁnis, not metaphorical, multiword expression
Pip Squeek, metaphorical, multiword expression
Agapanthaceae, not metaphorical, not multiword expression
Fothergilla major, not metaphorical, multiword expression
Akebia, not metaphorical, not multiword expression
Cynoglossum amabile, not metaphorical, multiword expression
Escallonia virgate, not metaphorical, multiword expression
Green Dream, metaphorical, multiword expression
Mexican white pine, not metaphorical, multiword expression
Compacta, metaphorical, not multiword expression
Poncirus trifoliata, not metaphorical, multiword expression
Dodecatheon pulchellum, not metaphorical, multiword expression
Hippeastrum, not metaphorical, not multiword expression
Cortadera richardii, not metaphorical, multiword expression
Korizont, not metaphorical, not multiword expression
Yellowwood, not metaphorical, not multiword expression
Möwe, metaphorical, not multiword expression
Diciluvit, not metaphorical, not multiword expression
Athyrium niponicum, not metaphorical, multiword expression
Kalanchoe, not metaphorical, not multiword expression
Trachelospermum, not metaphorical, not multiword expression
Warmingiana, not metaphorical, not multiword expression
Belarina Cobalt Blue, metaphorical, multiword expression
Yakushima Dwarf, not metaphorical, multiword expression
Queen of Night, metaphorical, multiword expression
African lily, not metaphorical, multiword expression
Polyscias ﬁlicifolia, not metaphorical, multiword expression
Leontopodium alpinum, metaphorical, multiword expression
Hymenocallis, not metaphorical, not multiword expression
Harquill, not metaphorical, not multiword expression
Erigeron karvinskianus, not metaphorical, multiword expression
Silver net-leaf, metaphorical, multiword expression
Rossioglossum grande, not metaphorical, multiword expression
Quercus palustris, not metaphorical, multiword expression
Nephrolepsis exaltata, not metaphorical, multiword expression
Pink Cloud, metaphorical, multiword expression
Carlina acaulis, not metaphorical, multiword expression
White Ladies, metaphorical, multiword expression
Elegia capensis, not metaphorical, multiword expression
Rosemary North, not metaphorical, multiword expression
Heidi weiss, metaphorical, not multiword expression
Crystal Palace, metaphorical, multiword expression
Sunrise, metaphorical, not multiword expression
Phlox paniculata, not metaphorical, multiword expression
Abies cephalonica, not metaphorical, multiword expression
Luzula sylvatica, not metaphorical, multiword expression
Picea abie, metaphorical, multiword expression
Allium aflatunense, not metaphorical, multiword expression
Cornus Alba, not metaphorical, multiword expression
Eriobotrya japonica, not metaphorical, multiword expression
Oregon maple, not metaphorical, multiword expression
Lochinch, not metaphorical, not multiword expression
Agapetes serpens, not metaphorical, multiword expression
Kimono, metaphorical, not multiword expression
Dreamland, metaphorical, not multiword expression
Berberis x stenophylla, not metaphorical, multiword expression
Rosea, metaphorical, not multiword expression
Black Out, metaphorical, multiword expression
Pittosporum tobira, not metaphorical, multiword expression
Bristle-pointed iris, metaphorical, multiword expression
Waterlily, not metaphorical, multiword expression
Lysichiton americanus, not metaphorical, multiword expression
Fothergilla gardenii, not metaphorical, multiword expression
Sedum kamtschaticum, not metaphorical, multiword expression
Carex elata, not metaphorical, multiword expression
Silver Qqueen, metaphorical, multiword expression
Blechnum penna-marina, metaphorical, multiword expression
Lion’s ear, metaphorical, multiword expression
Pillow talk, metaphorical, multiword expression
